station,name,longitude,latitude,location,rating
9 Bath Road Shopping Centre,Pizza 4 U,-0.635472,51.520432,,0.0
9 Bath Road Shopping Centre,Greggs,-0.635472,51.520432,"413/413a Bath Rd, Slough, Berkshire, SL1 5QL",6.3
9 Bath Road Shopping Centre,China Kitchen,-0.635472,51.520432,"405 Bath Rd, Slough, SL1 5QL",0.0
9 Bath Road Shopping Centre,Village Fish & Chips,-0.635472,51.520432,"132 Lower Cippenham Lane, Slough, SL1 5EA",0.0
9 Bath Road Shopping Centre,K's Flame Grill,-0.635472,51.520432,,0.0
10 Chalvey High Street,Ambala,-0.60676999,51.506562,,0.0
10 Chalvey High Street,Kay's,-0.60676999,51.506562,,0.0
10 Chalvey High Street,McDonald's,-0.60676999,51.506562,"Windsor Rd, Slough, Berkshire, SL1 2JD",5.9
10 Chalvey High Street,Burger King,-0.60676999,51.506562,"15 Bath Rd, Slough, Berkshire, SL1 3UF",5.8
10 Chalvey High Street,Bugis Street Brasserie,-0.60676999,51.506562,"Copthorne Hotel, Cippenham Lane (Cippenham Ln), Slough, Berkshire, SL1 2YE",0.0
10 Chalvey High Street,Star Karahi,-0.60676999,51.506562,"11 Hershal St, Slough, SL1 1PB",0.0
10 Chalvey High Street,Domino's Pizza,-0.60676999,51.506562,"115 Bath Rd, Slough, SL1 3UW",6.5
10 Chalvey High Street,PizzaExpress,-0.60676999,51.506562,"80 High St, Slough, SL1 1EL",6.6
10 Chalvey High Street,Roosters Piri Piri,-0.60676999,51.506562,"88-90 High St, Slough, Berkshire, SL1 1EL",6.8
10 Chalvey High Street,Salt Hill Cafe,-0.60676999,51.506562,"Salt Hill Park (Bath Rd.), Slough",0.0
11 Britwell,Britwell Fish Shop,-0.63102588,51.531906,"49 Wentworth Ave, Slough, SL2 2DS",0.0
11 Britwell,New Garden,-0.63102588,51.531906,"75 Wentworth Ave, Britwell, Berkshire, SL2 2DS",0.0
12 Windsor Road,Thyme,-0.59673975,51.507274,"Windsor Rd, Slough, Berkshire, SL1 2EL",0.0
12 Windsor Road,Mr Cod,-0.59673975,51.507274,"High St, Colnbrook with Poyle, Berkshire",0.0
12 Windsor Road,Roosters Piri Piri,-0.59673975,51.507274,"88-90 High St, Slough, Berkshire, SL1 1EL",6.8
12 Windsor Road,PizzaExpress,-0.59673975,51.507274,"80 High St, Slough, SL1 1EL",6.6
12 Windsor Road,The Rising Sun,-0.59673975,51.507274,"18-20 Windsor Rd, Slough, Berkshire, SL1 2EJ",0.0
12 Windsor Road,Greggs,-0.59673975,51.507274,"1 Mackenzie St, Slough, Berkshire, SL1 1XQ",6.4
12 Windsor Road,Swagath,-0.59673975,51.507274,"100 High St, Slough, Berkshire, SL1 1HL",0.0
12 Windsor Road,Green Chilli,-0.59673975,51.507274,,0.0
12 Windsor Road,Cheat Meals,-0.59673975,51.507274,"Slough, Berkshire, SL1 1EL",0.0
12 Windsor Road,King Kebabs,-0.59673975,51.507274,"High St, Slough",0.0
13 Arbour Park,The Grill Garden,-0.58962592,51.519485,"110 Stoke Rd, Slough, Berkshire, SL2 5AP",0.0
13 Arbour Park,Gaudios,-0.58962592,51.519485,"31-33 Stoke Rd, Slough, SL2 5AH",0.0
13 Arbour Park,Lucky House,-0.58962592,51.519485,"17 Baylis Parade, Slough, Berkshire, SL1 3LF",0.0
13 Arbour Park,Ali's Fish & Chips,-0.58962592,51.519485,,0.0
13 Arbour Park,Southern Fried Chicken,-0.58962592,51.519485,"112-114 High St, Slough, SL1 1JQ",0.0
13 Arbour Park,Maharaja Sweets,-0.58962592,51.519485,"8 Grasmere Parade Wexham Rd, Slough, SL2 5HZ",0.0
13 Arbour Park,Meghna Tandoori,-0.58962592,51.519485,"7 Upton Lea Parade, Slough, SL2 5JU",0.0
13 Arbour Park,The Soul Deli,-0.58962592,51.519485,"The Porter Building, Brunel Way, Slough, Berkshire",0.0
14 Wexham Road,Maharaja Sweets,-0.57820873,51.518459,"8 Grasmere Parade Wexham Rd, Slough, SL2 5HZ",0.0
14 Wexham Road,Meghna Tandoori,-0.57820873,51.518459,"7 Upton Lea Parade, Slough, SL2 5JU",0.0
14 Wexham Road,"So Asia, Slough",-0.57820873,51.518459,"Colnbrook with Poyle, Berkshire",0.0
14 Wexham Road,The Grill Garden,-0.57820873,51.518459,"110 Stoke Rd, Slough, Berkshire, SL2 5AP",0.0
15 The Curve,Roosters Piri Piri,-0.59497885,51.510246,"88-90 High St, Slough, Berkshire, SL1 1EL",6.8
15 The Curve,PizzaExpress,-0.59497885,51.510246,"80 High St, Slough, SL1 1EL",6.6
15 The Curve,Jerry's Pizza,-0.59497885,51.510246,"66 High St, Slough, SL1 1EL",0.0
15 The Curve,Gino's,-0.59497885,51.510246,"82 High St, Slough, SL1 1EL",0.0
15 The Curve,Rickshaw Road,-0.59497885,51.510246,"Prudential Buildings, 3-4 William St, Slough, Berkshire, SL1 1XY",0.0
15 The Curve,Krispy Kreme,-0.59497885,51.510246,"Tesco Extra Brunel Way (Wellington St), Slough, Berkshire, SL1 1XW",7.1
15 The Curve,King Kebabs,-0.59497885,51.510246,"High St, Slough",0.0
15 The Curve,Greggs,-0.59497885,51.510246,"1 Mackenzie St, Slough, Berkshire, SL1 1XQ",6.4
15 The Curve,Swagath,-0.59497885,51.510246,"100 High St, Slough, Berkshire, SL1 1HL",0.0
15 The Curve,Cheat Meals,-0.59497885,51.510246,"Slough, Berkshire, SL1 1EL",0.0
16 Langley,Millionaires Punjabi Cuisine,-0.54318756,51.507257,"62 Station Rd, Slough, Berkshire, SL3 8BT",0.0
16 Langley,Domino's Pizza,-0.54318756,51.507257,"1 & 1a Harrow Market, Langley, Hampshire, SL3 8HJ",6.1
16 Langley,Nicks Fish & Chips,-0.54318756,51.507257,"16 Harrow Market, Slough, Berkshire, SL3 8HJ",0.0
16 Langley,Pizza Hut,-0.54318756,51.507257,"Willow Parade, Slough, SL3 8HN",6.3
16 Langley,Reds Cafe,-0.54318756,51.507257,"292 High St, Colnbrook with Poyle, Berkshire, SL3 8HF",0.0
16 Langley,Smokey's,-0.54318756,51.507257,,0.0
16 Langley,Sangeetha Vegetarian Restaurant,-0.54318756,51.507257,"3 Meadfield Rd, Slough, Berkshire",0.0
16 Langley,Lotus Chinese Kitchen,-0.54318756,51.507257,,0.0
16 Langley,Loon Tin,-0.54318756,51.507257,"33 Willoughby Rd, Slough, Berkshire, SL3 8JH",0.0
16 Langley,Shamrock's,-0.54318756,51.507257,"12 Parlaunt Rd, Slough, SL3 8BB",0.0
17 Wexham Hospital,Courtyard Restaurant,-0.5767782,51.532348,"Slough, Berkshire",0.0
6 O2,Greggs,-0.63086763,51.518988,"171 Buckingham Ave (171 Buckingham Av), Slough, Berkshire, SL1 4RD",6.9
6 O2,Thyme,-0.63086763,51.518988,"40 Liverpool Rd, Slough, Berkshire, SL1 4QZ",0.0
6 O2,Subway,-0.63086763,51.518988,"23B Buckingham Ave, Slough, SL1 4QA",5.3
6 O2,Papa Johns Pizza,-0.63086763,51.518988,"Buckingham Ave, Slough, SL1 4PG",0.0
6 O2,McDonald's,-0.63086763,51.518988,"Bath Rd Retail Park, Slough, Berkshire, SL1 4DX",5.2
6 O2,Ann's Pantry,-0.63086763,51.518988,"34 Buckingham Ave, Slough, SL1 4QA",0.0
6 O2,Wokhei Limited,-0.63086763,51.518988,"Slough, SL1 1XQ",0.0
6 O2,Village Fish & Chips,-0.63086763,51.518988,"132 Lower Cippenham Lane, Slough, SL1 5EA",0.0
6 O2,The king and i,-0.63086763,51.518988,"Bath Rd, Colnbrook with Poyle, Berkshire",0.0
6 O2,Greggs,-0.63086763,51.518988,"413/413a Bath Rd, Slough, Berkshire, SL1 5QL",6.3
