station,name,longitude,latitude,location,rating
4 Slough Council,Bugis Street Brasserie,-0.607722,51.510629,"Copthorne Hotel, Cippenham Lane (Cippenham Ln), Slough, Berkshire, SL1 2YE",0.0
4 Slough Council,Kay's,-0.607722,51.510629,,0.0
5 Trelawney Avenue,Hot Kebab,-0.554815,51.501937,"116 London Rd, Slough, Berkshire, SL3 7HS",0.0
5 Trelawney Avenue,Nicks Fish & Chips,-0.554815,51.501937,"16 Harrow Market, Slough, Berkshire, SL3 8HJ",0.0
5 Trelawney Avenue,Reds Cafe,-0.554815,51.501937,"292 High St, Colnbrook with Poyle, Berkshire, SL3 8HF",0.0
5 Trelawney Avenue,Smokey's,-0.554815,51.501937,,0.0
5 Trelawney Avenue,Sangeetha Vegetarian Restaurant,-0.554815,51.501937,"3 Meadfield Rd, Slough, Berkshire",0.0
5 Trelawney Avenue,Montague Arms Harvester,-0.554815,51.501937,"London Rd, Slough, Berkshire, SL3 7HX",5.4
7 Sutton Lane,Atlantis Lounge and Restaurant,-0.534806,51.489517,"Slough, Berkshire, SL3 8QB",0.0
7 Sutton Lane,Wild Bean Café,-0.534806,51.489517,"London Rd, Slough, SL3 8QE",0.0
7 Sutton Lane,Brasserie Centrale,-0.534806,51.489517,"Ditton Rd, Slough, Berkshire, SL3 8PT",5.9
7 Sutton Lane,Pizza da Marco,-0.534806,51.489517,"Ditton Rd, Slough, Berkshire, SL3 8PT",0.0
8 Yarmouth Road,Tops Pizza,-0.616663,51.519919,"222 Farnham Rd, Slough, SL1 4XE",0.0
8 Yarmouth Road,German Doner Kebab,-0.616663,51.519919,"248 Farnham Rd, Slough, Berkshire, SL1 4XE",0.0
8 Yarmouth Road,Exotic Karahi,-0.616663,51.519919,"262-264 Farnham Rd, Colnbrook with Poyle, Berkshire, SL1 4XL",6.1
9 Bath Road Shopping Centre,Village Fish & Chips,-0.635472,51.520432,"132 Lower Cippenham Lane, Slough, SL1 5EA",0.0
9 Bath Road Shopping Centre,K's Flame Grill,-0.635472,51.520432,,0.0
10 Chalvey High Street,Star Karahi,-0.60676999,51.506562,"11 Hershal St, Slough, SL1 1PB",0.0
12 Windsor Road,Mr Cod,-0.59673975,51.507274,"High St, Colnbrook with Poyle, Berkshire",0.0
12 Windsor Road,The Rising Sun,-0.59673975,51.507274,"18-20 Windsor Rd, Slough, Berkshire, SL1 2EJ",0.0
12 Windsor Road,Swagath,-0.59673975,51.507274,"100 High St, Slough, Berkshire, SL1 1HL",0.0
12 Windsor Road,Green Chilli,-0.59673975,51.507274,,0.0
12 Windsor Road,Cheat Meals,-0.59673975,51.507274,"Slough, Berkshire, SL1 1EL",0.0
12 Windsor Road,King Kebabs,-0.59673975,51.507274,"High St, Slough",0.0
13 Arbour Park,The Grill Garden,-0.58962592,51.519485,"110 Stoke Rd, Slough, Berkshire, SL2 5AP",0.0
13 Arbour Park,Southern Fried Chicken,-0.58962592,51.519485,"112-114 High St, Slough, SL1 1JQ",0.0
13 Arbour Park,Maharaja Sweets,-0.58962592,51.519485,"8 Grasmere Parade Wexham Rd, Slough, SL2 5HZ",0.0
13 Arbour Park,Meghna Tandoori,-0.58962592,51.519485,"7 Upton Lea Parade, Slough, SL2 5JU",0.0
14 Wexham Road,"So Asia, Slough",-0.57820873,51.518459,"Colnbrook with Poyle, Berkshire",0.0
15 The Curve,Gino's,-0.59497885,51.510246,"82 High St, Slough, SL1 1EL",0.0
15 The Curve,Rickshaw Road,-0.59497885,51.510246,"Prudential Buildings, 3-4 William St, Slough, Berkshire, SL1 1XY",0.0
16 Langley,Lotus Chinese Kitchen,-0.54318756,51.507257,,0.0
16 Langley,Shamrock's,-0.54318756,51.507257,"12 Parlaunt Rd, Slough, SL3 8BB",0.0
17 Wexham Hospital,Courtyard Restaurant,-0.5767782,51.532348,"Slough, Berkshire",0.0
