station,name,longitude,latitude,location,rating
12 Windsor Road,Caribbean Experience,-0.59673975,51.507274,"['41 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
12 Windsor Road,Spice 21,-0.59673975,51.507274,"['2 Alpha Street North', 'Slough SL1 1RB', 'United Kingdom']",4.0
12 Windsor Road,Nando's,-0.59673975,51.507274,"['258 High st', 'Slough SL1 1JU', 'United Kingdom']",3.0
12 Windsor Road,Harris + Hoole,-0.59673975,51.507274,"['Tesco Extra', 'Wellington Street', 'Slough SL1 1XW', 'United Kingdom']",4.0
12 Windsor Road,Shahzad Restaurant,-0.59673975,51.507274,"['12 Park Street', 'Slough SL1 1PD', 'United Kingdom']",3.5
12 Windsor Road,Potato stand,-0.59673975,51.507274,"['High Street', 'Slough SL1 1YU', 'United Kingdom']",4.0
12 Windsor Road,Al Fanouse,-0.59673975,51.507274,"['289 High St', 'Slough SL1 1BD', 'United Kingdom']",4.0
12 Windsor Road,Pizza Express Restaurants,-0.59673975,51.507274,"['80 High Street', 'Slough SL1 1EL', 'United Kingdom']",4.0
12 Windsor Road,Milano Pizza,-0.59673975,51.507274,"['16 High Street', 'Slough SL1 1EQ', 'United Kingdom']",3.0
12 Windsor Road,Pizza Hut,-0.59673975,51.507274,"['59 Queensmere', 'Slough SL1 1DD', 'United Kingdom']",4.0
12 Windsor Road,McDonald's,-0.59673975,51.507274,"['172 High Street', 'Slough SL1 1JP', 'United Kingdom']",4.0
12 Windsor Road,Prestige,-0.59673975,51.507274,"['117 High Street', 'Slough SL1 1DH', 'United Kingdom']",3.5
12 Windsor Road,Khyber Pass,-0.59673975,51.507274,"['3 Church Street', 'Slough SL1 1PQ', 'United Kingdom']",3.0
12 Windsor Road,Burger King,-0.59673975,51.507274,"['150 High Street', 'Slough SL1 1JP', 'United Kingdom']",2.5
12 Windsor Road,Pepe's Piri Piri,-0.59673975,51.507274,"['256 High Street', 'Slough SL1 1JU', 'United Kingdom']",2.0
